design,method,method_label,wrong_order,rho,seed,ate_error,cf_rmse,cf_inconsistency,source
design_i,seqot,Seq-OT,False,0.1,0,0.12722670437605843,0.42265286425330423,0.006963244010727048,seqot_results_chain.pt
design_i,seqot,Seq-OT,False,0.1,1,0.12020688097667873,0.3680322145619959,0.00454094162359285,seqot_results_chain.pt
design_i,seqot,Seq-OT,False,0.1,2,0.07720485285813347,0.36134678488156474,0.005111398426816632,seqot_results_chain.pt
design_i,seqot,Seq-OT,False,0.1,3,0.07916240181560269,0.38450416735407494,0.007479151295731736,seqot_results_chain.pt
design_i,seqot,Seq-OT,False,0.1,4,0.10882889316375297,0.6109060679493871,0.0035646653566423943,seqot_results_chain.pt
design_i,seqot,Seq-OT,False,0.1,5,0.07679243465249744,0.36270316333747415,0.0037119521226481357,seqot_results_chain.pt
design_i,seqot,Seq-OT,False,0.1,6,0.23056050567481978,0.39922851093031225,0.0035892162664108475,seqot_results_chain.pt
design_i,seqot,Seq-OT,False,0.1,7,0.05542239934824962,0.35522658260679996,0.004690759983796507,seqot_results_chain.pt
design_i,seqot,Seq-OT,False,0.1,8,0.06858318141751425,0.4131734826952909,0.004684671355031126,seqot_results_chain.pt
design_i,seqot,Seq-OT,False,0.1,9,0.11796661648460477,0.32909217445053834,0.005913886361631413,seqot_results_chain.pt
design_i,seqot,Seq-OT,False,0.1,10,0.06352684183005886,0.321795838737027,0.004263556582541727,seqot_results_chain.pt
design_i,seqot,Seq-OT,False,0.1,11,0.06970930911513186,0.3654912064708158,0.004095860176121095,seqot_results_chain.pt
design_i,seqot,Seq-OT,False,0.1,12,0.1046018649350919,0.33014766232174575,0.004032112735309986,seqot_results_chain.pt
design_i,seqot,Seq-OT,False,0.1,13,0.16542502750952212,0.6132167912774913,0.003732105704163503,seqot_results_chain.pt
design_i,seqot,Seq-OT,False,0.1,14,0.22951631276999157,0.3907062828952788,0.004160996938497769,seqot_results_chain.pt
design_i,seqot,Seq-OT,False,0.1,15,0.0678209097339023,0.42448561407960905,0.003785098977612168,seqot_results_chain.pt
design_i,seqot,Seq-OT,False,0.1,16,0.09859760146111488,0.3403506527297464,0.005128724509079358,seqot_results_chain.pt
design_i,seqot,Seq-OT,False,0.1,17,0.042382930008730994,0.43297540780682026,0.005774356316772183,seqot_results_chain.pt
design_i,seqot,Seq-OT,False,0.1,18,0.07652606769118456,0.3637263023221151,0.0037251808473210426,seqot_results_chain.pt
